evaluation_context,model_name,window_label,prediction_artifact,aoi_alert_overlap_index,true_positive_windows,false_positive_windows,false_negative_windows,true_negative_windows,attack_window_count,predicted_alert_window_count,evaluated_window_count,alert_coverage,alert_precision,notes
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/300s/threshold_baseline/predictions.parquet,0.05916030534351145,31,452,41,911,72,483,1435,0.4305555555555556,0.06418219461697723,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/300s/transformer/predictions.parquet,0.581081081081081,43,2,29,1358,72,45,1432,0.5972222222222222,0.9555555555555556,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/5s/autoencoder/predictions.parquet,0.07576533879851416,1183,12526,1905,70781,3088,13709,86395,0.38309585492227977,0.08629367568750455,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/5s/gru/predictions.parquet,0.03574860212315208,3088,83293,0,11,3088,86381,86392,1.0,0.03574860212315208,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/5s/isolation_forest/predictions.parquet,0.03574280919034666,3088,83307,0,0,3088,86395,86395,1.0,0.03574280919034666,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/5s/lstm/predictions.parquet,0.035744050375034725,3088,83304,0,0,3088,86392,86392,1.0,0.035744050375034725,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/5s/threshold_baseline/predictions.parquet,0.0415957188032109,171,1023,2917,82284,3088,1194,86395,0.055375647668393785,0.14321608040201006,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/5s/transformer/predictions.parquet,0.03599529077154414,3088,82701,0,603,3088,85789,86392,1.0,0.03599529077154414,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/60s/autoencoder/predictions.parquet,0.04847576211894053,194,3726,82,3193,276,3920,7195,0.7028985507246377,0.049489795918367344,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/60s/gru/predictions.parquet,0.10132689987937274,84,553,192,6355,276,637,7184,0.30434782608695654,0.13186813186813187,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
