artifact_path,artifact_type,phase,exists,nonempty,last_modified,referenced_by_reports,needs_verification,notes
outputs/window_size_study/300s/ready_packages/lstm/preprocessing.pkl,checkpoint,phase1,True,True,2026-04-18 21:04:51.488751173,,False,
outputs/window_size_study/300s/ready_packages/lstm/split_summary.json,json,phase1,True,True,2026-04-18 21:04:51.488751173,,True,
outputs/window_size_study/300s/ready_packages/lstm/thresholds.json,json,phase1,True,True,2026-04-18 21:04:51.488751173,,True,
outputs/window_size_study/300s/ready_packages/lstm/training_history.json,json,phase1,True,True,2026-04-18 21:04:51.488751173,,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/calibration.json,json,phase1,True,True,2026-04-18 21:00:31.980309725,,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/checkpoint.pkl,checkpoint,phase1,True,True,2026-04-18 21:00:31.980309725,,False,
outputs/window_size_study/300s/ready_packages/threshold_baseline/config.json,json,phase1,True,True,2026-04-18 21:00:31.980309725,reports/generated_report.md,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/feature_columns.json,json,phase1,True,True,2026-04-18 21:00:31.980309725,,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/metrics.json,json,phase1,True,True,2026-04-18 21:00:31.996694803,,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/model_manifest.json,json,phase1,True,True,2026-04-18 21:00:31.997092485,,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/predictions.parquet,parquet,phase1,True,True,2026-04-18 21:00:31.997092485,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/preprocessing.pkl,checkpoint,phase1,True,True,2026-04-18 21:00:31.980309725,,False,
outputs/window_size_study/300s/ready_packages/threshold_baseline/split_summary.json,json,phase1,True,True,2026-04-18 21:00:31.997092485,,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/thresholds.json,json,phase1,True,True,2026-04-18 21:00:31.980309725,,True,
outputs/window_size_study/300s/ready_packages/threshold_baseline/training_history.json,json,phase1,True,True,2026-04-18 21:00:31.995767355,,True,
outputs/window_size_study/300s/ready_packages/transformer/calibration.json,json,phase1,True,True,2026-04-18 21:07:30.660220623,,True,
outputs/window_size_study/300s/ready_packages/transformer/checkpoint.pt,checkpoint,phase1,True,True,2026-04-18 21:07:30.650100470,,False,
